Column1,Column2
"Jayasuriya to Haris Sohail, 2 runs, smart batting from Sohail. There are vast vacant spaces on the both sides and he just places it into one of them and pockets a brace. Flighted outside off, Sohail opens the bat face and directs it past point, by the time the sweeper got across the second was taken",40.6
"Jayasuriya to Sarfaraz, 1 run, they are happy to take the single, fifth one of the over and this one is down to long-on",40.5
"Jayasuriya to Haris Sohail, 1 run, flighted around off, Sohail opens the bat face to maneuver into the off-side",40.4
"Jayasuriya to Sarfaraz, 1 run, tossed up on off, Sarfaraz eases the drive to long-on",40.3
"Jayasuriya to Haris Sohail, 1 run, flatter delivery sliding in from round the wicket and Sohail punches it to long-on",40.2
"Jayasuriya to Sarfaraz, 1 run, spins in sharply and Sarfaraz did not expect it, went for the drive and squirted an inside edge onto the pad, the ball rolls into the off-side and the duo cross over",40.1
"Lahiru Kumara to Haris Sohail, no run, Lahiru Kumara nails the yorker, Haris Sohail gets his bat down just in time and defends it back to the bowler",39.6
"Lahiru Kumara to Sarfaraz, 1 run, length delivery around off, Sarfaraz steers it away to third man",39.5
"Lahiru Kumara to Sarfaraz, no run, slower delivery on a short of length, Sarfaraz wanted to upper cut it over the keeper's end. But he didn't pick the slower one and was way early into the shot",39.4
"Lahiru Kumara to Haris Sohail, 1 run, very full delivery attacking the stumps, Haris Sohail flicks it to mid-on",39.3
"Lahiru Kumara to Haris Sohail, no run, fuller length delivery on the stumps, Haris Sohail flicks it straight to mid-wicket",39.2
"Lahiru Kumara to Sarfaraz, 1 run, stays in the crease and pulls it away to deep square leg",39.1
"Wanidu Hasaranga to Sarfaraz, 1 run, knocks it down the ground to long-on",38.6
"Wanidu Hasaranga to Sarfaraz, 2 runs, spinning away from Sarfaraz, he outside edges the push and ends up wide of short third man",38.5
"Wanidu Hasaranga to Sarfaraz, FOUR, that's a juicy full-toss from Wanidu Hasaranga, Sarfaraz thumps it to deep mid-wicket for a boundary. The ball deserved the punishment!",38.4
"Wanidu Hasaranga to Haris Sohail, 1 run, spins in and tucks it to backward square leg",38.3
"Wanidu Hasaranga to Haris Sohail, no run, Haris Sohail plays for the spin, it didn't turn much hence he ends up playing inside the line of the ball. And it goes past the outside edge. Haris Sohail in trying to defend that left the crease and Bhanuka missed a clear stumping chance",38.2
"Wanidu Hasaranga to Sarfaraz, 1 run, googly starts from wide of off, Sarfaraz reads it off the pitch and pushes it away to the off-side",38.1
"Shanaka to Haris Sohail, FOUR, wow! That's a serious cricket shot from Haris Sohail who in every innings does something to prove that he is a serious cricketer. Stands tall, shuffles slightly to the on-side to manufacture room and punched it wide of cover. No one moved!",37.6
"Shanaka to Haris Sohail, 2 runs, stands tall and cuts it past the backward point fielder. He will come back for a second",37.5
"Shanaka to Sarfaraz, 1 run, driven down the ground, it finds the mid-on fielder and they will take a single",37.4
"Shanaka to Sarfaraz, no run, flicked to mid-wicket where Gunathilaka dives and stops it from going further",37.3
"Shanaka to Haris Sohail, 1 run, full and wide of off, Haris Sohail drives it away to sweeper cover",37.2
"Shanaka to Sarfaraz, leg byes, 1 run, 129.7 kph delivery on the stumps, Sarfaraz misses the tuck and it struck him onto his pads. Sliding down leg so there wasn't appeal for lbw. It deflects away to the on-side",37.1
"Wanidu Hasaranga to Haris Sohail, no run, it pitches around leg and spins down further, Haris Sohail eases it straight to mid-wicket",36.6
"Wanidu Hasaranga to Sarfaraz, 1 run, leggie around off, Sarfaraz stays back and punches it to long-off",36.5
"Wanidu Hasaranga to Haris Sohail, 1 run, driven past bowler for another run",36.4
"Wanidu Hasaranga to Sarfaraz, 1 run, straight bat push to long-on",36.3
"Wanidu Hasaranga to Sarfaraz, no run, stays put and carves it away to backward point",36.2
"Wanidu Hasaranga to Haris Sohail, 1 run, 85.7 leggie on the stumps, Haris Sohail goes back and whips it to deep mid-wicket",36.1
"Shanaka to Sarfaraz, no run, length delivery on the stumps, Sarfaraz stays in the crease and blocks it to the off-side",35.6
"Shanaka to Haris Sohail, 1 run, dabs it to third man",35.5
"Shanaka to Haris Sohail, 2 runs, opens the face of the bat nicely and guides it wide of third man for another couple. Three two's in a row for Haris Sohail and Pakistan. This must be frustrating for Sri Lanka",35.4
"Shanaka to Haris Sohail, 2 runs, stays put and punches it square of the wicket, he will come back for a double again",35.3
"Shanaka to Haris Sohail, 2 runs, throws this one wide of off, Haris Sohail saw the width and threw his bat at it. He gets it wide of sweeper cover and will come back for a brace",35.2
"Shanaka to Haris Sohail, no run, full and attacking the stumps, Haris Sohail pushes it to cover",35.1
"Wanidu Hasaranga to Sarfaraz, no run, a brilliant wrong 'un to end the over. Sarfaraz was late in picking it up hence he reacted a touch late, he plays it down the wrong line and ends up inside edging it back onto the pad",34.6
"Wanidu Hasaranga to Sarfaraz, no run, full and wide of off, Sarfaraz presses forward and defends it to the off-side",34.5
"Wanidu Hasaranga to Sarfaraz, no run, it was short enough to be cut but Sarfaraz ends up hitting it too hard and in the process mistiming it to cover",34.4
"Wanidu Hasaranga to Haris Sohail, 1 run, now, a wrong'un, Haris Sohail stays put and pushes it away wide of cover",34.3
"Wanidu Hasaranga to Haris Sohail, 2 runs, goes back in the crease and works it wide of deep backward square leg for a brace",34.2
"Wanidu Hasaranga to Sarfaraz, 1 run, knocks it down to long-off",34.1
"Pradeep to Haris Sohail, FOUR, the fielding has clearly not been of the international standards today. It was a yorker on the stumps and Haris Sohail flicked it away wide of deep mid-wicket. Jayasuriya reached there but gets down in a lazy fashion and allows it to go through for a boundary. Very very poor as it releases the pressure!",33.6
"Pradeep to Haris Sohail, no run, very full and targeting the stumps, Haris Sohail eases it away to mid-on",33.5
"Pradeep to Sarfaraz, 1 run, fuller length delivery on the pads, Sarfaraz tucks it to backward square leg",33.4
"Pradeep to Haris Sohail, 1 run, length delivery around off, Haris Sohail taps it to cover point with soft hands and takes a quick single",33.3
"Pradeep to Sarfaraz, 1 run, opens the face of the bat to guide it third man",33.2
"Pradeep to Sarfaraz, no run, length delivery around off, Sarfaraz punches it straight to the bowler. Pradeep picks it up and throws it at Sarfaraz in anger. It misses him and Bhanuka has to dive to his left to stop it from going to the fence",33.1
"Sandakan to Haris Sohail, 2 runs, goes back on that wrong 'un and punches it to sweeper cover for a brace",32.6
"Sandakan to Haris Sohail, no run, flighted and very full, Haris Sohail wanted to drive it through cover, ends up inside edging it to short fine leg",32.5
"Sandakan to Sarfaraz, 1 run, knocks it down the ground to long-on",32.4
"Sandakan to Sarfaraz, no run, full and on the stumps, driven back to the bowler",32.3
"Sandakan to Sarfaraz, no run, defends it to the off-side",32.2
"Sandakan to Haris Sohail, 1 run, sharp spin on that wrong 'un, Haris Sohail fails to pick it up. He was shaping up to play it through the off-side and almost ends up getting beaten. He puts just enough bat on it to push it through cover",32.1
"Pradeep to Haris Sohail, 1 run, tucks it to mid-on and completes a single",31.6
"Pradeep to Haris Sohail, no run, punches it straight down the ground to mid-on",31.5
"Pradeep to Haris Sohail, no run, length delivery around off, Haris Sohail stays in the crease and pushes it to the off-side",31.4
"Pradeep to Fakhar Zaman, out Caught by Shanaka!! Two wickets in two overs for Pradeep in this comeback spell. That makes things interesting. It was banged in short and was well wide of off, Fakhar Zaman gets under it and upper cuts it straight to the man at third man. It wasn't timed that well but the most surprising part was that he didn't put enough power behind the shot. Had he thrown his hands at it wildly, it might have sailed over. Fakhar Zaman c Shanaka b Pradeep 76(91) [4s-7 6s-1]",31.3
"Pradeep to Fakhar Zaman, no run, length delivery on the stumps, Fakhar Zaman stays put and defends it to the on-side",31.2
"Pradeep to Fakhar Zaman, no run, length delivery angling back into Fakhar Zaman, he misses the tuck. It struck him on the pads and it deflects away to the off-side",31.1
"Sandakan to Fakhar Zaman, 1 run, tossed up outside off, Zaman bends low and sweeps it to deep mid-wicket",30.6
"Sandakan to Fakhar Zaman, no run, quicker and skidding on, Zaman camps back and defends down the wicket",30.5
"Sandakan to Sarfaraz, byes, 1 run, googly and Sarfaraz is beaten all ends up, he moves forward to work it into the leg-side and is defeated by the away turn. The keeper also does not glove it cleanly",30.4
"Sandakan to Sarfaraz, no run, flatter and on the stumps, Sarfaraz turns it towards mid-wicket",30.3
"Sandakan to Sarfaraz, 2 runs, he will play the sweep, this was fuller than he would have liked and hence the under-edge towards backward square",30.2
"Sandakan to Sarfaraz, wide, wrong 'un that turns away too much and goes past the tramline outside off, easy call",30.2
