Column1,Column2
"Siddle to Kohli, no run, walks down to a ball that's on a back of a length on off, wanted to work it through the on-side but gets a thick outside edge to short third man",40.6
"Siddle to Dhoni, 1 run, back of a length delivery outside off, pokes it wide of cover",40.5
"Siddle to Dhoni, wide, another bouncer that flies over the batsman's head. Dhoni didn't even have to bend",40.5
"Siddle to Kohli, 1 run, slower short ball outside off, Kohli slaps it to deep point",40.4
"Siddle to Kohli, wide, too high with this bouncer, sails over Kohli's head",40.4
"Siddle to Dhoni, 1 run, pulls it to deep backward square leg, all along the ground this time",40.3
"Siddle to Dhoni, 2 runs, falls just short of Behrendorff at fine leg. Dhoni was outsmarted by Siddle here. He stepped out, only to find the ball banged in short and rushing him on the pull. Hits him high on the bat and spoons up in front of fine leg. Valiant effort from the tall quick to get to it, can't do so",40.2
"Siddle to Kohli, 1 run, walks at Siddle and whips this length ball to deep midwicket",40.1
"Stoinis to Dhoni, no run, punched back sweetly to Stoinis who has a shy at the striker's end, but Dhoni had got back after wandering out for a bit. Stoinis has a big smile on his face, Dhoni remains stone-faced",39.6
"Stoinis to Dhoni, no run, happy to bend underneath the bouncer, the first one of the over",39.5
"Stoinis to Dhoni, no run, back of a length delivery just outside off, punches it to mid-off",39.4
"Stoinis to Kohli, 1 run, back of a length delivery just outside off, dabs it down to third man",39.3
"Stoinis to Kohli, no run, stops on Kohli as he tries to punch through cover, gets it off the inside half to mid-on instead",39.2
"Stoinis to Kohli, no run, back of a length on off, Kohli walks at it and turns it to midwicket",39.1
"J Richardson to Dhoni, 2 runs, back of a length on off, clips it backward of square and hurries back for the second run",38.6
"J Richardson to Dhoni, no run, banged in short by Richardson, Dhoni bobs his head underneath it. Given as the second bouncer for the over",38.5
"J Richardson to Dhoni, no run, full at the stumps, clipped to midwicket",38.4
"J Richardson to Kohli, 1 run, short ball above the shoulders, pulls it hard to deep square leg",38.3
"J Richardson to Kohli, 2 runs, just gets a hand on it with a dive, else it would've raced away. Length ball slanted in, Kohli clipped it wide of mid-on where Khawaja made the save",38.2
"J Richardson to Dhoni, 1 run, full ball on off stump, nudges it in front of mid-on for a quick single",38.1
"Stoinis to Kohli, FOUR, width on offer and Kohli pounces on it! Both feet up in the air and he flays it behind point with superb timing. Into the 90s now",37.6
"Stoinis to Kohli, no run, mild appeal for leg before but Kohli was too far down the pitch. Wanted to flick this through mid-wicket, but was on the move and was hit high on the pad. No dice!",37.5
"Stoinis to Dhoni, 1 run, punches it to deep cover",37.4
"Stoinis to Kohli, 1 run, shuffles forward and fetches the pull from outside off to deep mid-wicket",37.3
"Stoinis to Kohli, no run, pitched up outside off, Kohli drives square and can't get it past backward point",37.2
"Stoinis to Kohli, no run, good length on off, Kohli hops inside the crease and punches to short cover",37.1
"Lyon to Kohli, 1 run, flat on leg stump, punched wide of mid-wicket and Kohli will retain strike",36.6
"Lyon to Kohli, no run, flicked off the pads to short fine",36.5
"Lyon to Kohli, 2 runs, flicks this away in the gap at mid-wicket and they steal another couple of runs",36.4
"Lyon to Kohli, 2 runs, 200 up for India. Kohli slammed this through cover and it needed some brilliance from Handscomb to prevent the boundary",36.3
"Lyon to Kohli, no run, quicker outside off, chopped out to point",36.2
