Column1,Column2
"Santner to Kohli, 1 run, slower and wider of off, eased into the gap wide of cover for a single",25.5
"Santner to Dhawan, 1 run, dropped short and wide of off, cracked square on the off-side for a single",25.4
"Santner to Kohli, 1 run, Santner gives this one plenty of air, eased down towards long-on for a single",25.3
"Santner to Dhawan, 1 run, flighted on the leg-stump line, clipped backward of square on the on-side for a single",25.2
"Santner to Kohli, 1 run, pushed through on the leg-stump line, nudged behind square on the on-side for a single",25.1
"Southee to Kohli, 1 run, on a good length and just outside off, Kohli works it wide of mid-wicket for a single",24.6
"Southee to Kohli, no run, tad fuller and just outside off, Kohli leans forward and finds mid-off with the drive",24.5
"Southee to Kohli, no run, Kohli has been given OUT LBW and he wants a review. It's a fair delivery, think there's no bat on that, but is it going over the stumps. HotSpot doesn't reveal anything, but there's a spike on the RTS when the ball went past the bat. Nigel Llong is happy with what he has seen and the decision has been overturned. NOT OUT is the call. Kohli survives, he was quick to review and think he knew he might have got an inside edge. On a length and slanting into the right-hander, Kohli slightly fell over on the flick and was rapped on the pads - in front of middle and leg",24.4
"Southee to Dhawan, 1 run, low full toss, Dhawan drives it towards cover",24.3
"Southee to Dhawan, no run, shortish delivery around the off stump, Dhawan cuts to deep backward point",24.2
"Southee to Dhawan, no run, short of length delivery angled in, Dhawan looks to cut and misses as it is too close to the body, had no room for the shot",24.1
"Santner to Dhawan, 1 run, turned to square leg off the front foot",23.6
"Santner to Dhawan, 2 runs, looked like the attempted carrom ball on the shorter side, lot of width, Dhawan cuts and sends it to deep cover",23.5
"Santner to Dhawan, no run, flicked to the left of mid-wicket, who dives and stops the ball",23.4
"Santner to Kohli, 1 run, nicely floated up on the stumps, Kohli drills it hard to long-on",23.3
"Santner to Dhawan, 1 run, flighted delivery on the stumps, Dhawan drives it towards mid-off",23.2
"Santner to Dhawan, no run, flighted delivery on the leg stump, Dhawan works it away towards mid-wicket",23.1
"Southee to Dhawan, 1 run, punched square of the wicket on the off-side",22.6
"Southee to Dhawan, 2 runs, this time Dhawan drives to the right of the diving fielder at cover, the man in the deep tidies up, 26th ODI fifty for Dhawan, he's looked solid after that initial new ball burst from Boult and Southee",22.5
"Southee to Dhawan, no run, crunchy cover drive, but straight to the man at cover, landed in the slot for Dhawan to cream that ball, didn't get the placement right",22.4
"Southee to Dhawan, no run, short of length delivery on the stumps, Dhawan defends it towards mid-wicket",22.3
"Southee to Kohli, 1 run, good length delivery just outside off stump, Kohli knocks it to the right of mid-wicket and he races off",22.2
"Southee to Kohli, no run, short of length delivery on the off stump, Kohli goes back and pushes it to mid-on",22.1
"Santner to Dhawan, no run, on the leg stump, Dhawan defends it into the on-side",21.6
"Santner to Dhawan, no run, pushed into the off-side",21.5
"Santner to Kohli, 1 run, nice and full from Santner, Kohli drives it along the ground to long-off",21.4
"Santner to Dhawan, 1 run, tossed up on the stumps, Dhawan drives it to long-on",21.3
"Santner to Kohli, 1 run, fullish delivery outside off stump, Kohli leans forward and drives it to sweeper cover",21.2
"Santner to Kohli, no run, flighted delivery, blocked",21.1
"Boult to Kohli, 3 runs, short delivery again, Kohli pulls it wide of deep mid-wicket this time",20.6
"Boult to Dhawan, 1 run, slower delivery outside off stump, Dhawan drives it square of the wicket on the off-side",20.5
"Boult to Dhawan, no run, very full and on the stumps, Dhawan gets an inside edge onto pad",20.4
"Boult to Kohli, 1 run, shortish delivery on the leg stump, Kohli pulls to deep mid-wicket",20.3
"Boult to Dhawan, 1 run, shortish delivery outside off stump, Dhawan reaches out for the cut shot and toe-ends it to third man",20.2
"Boult to Dhawan, no run, good length delivery outside off stump, Dhawan leans forward and drives it square towards backward point",20.1
"Santner to Kohli, no run, flighted delivery outside off stump, Kohli opens the face of the bat and guides it towards backward point",19.6
"Santner to Dhawan, 1 run, goes back and pushes the ball wide of long-on for an easy run",19.5
